num,name,north,r1,r2,r3,r4,start,halfAngle1,halfAngle2,cr1,cr2,cr3,cr4,range
1,p1.jpg,289,23.27,67.43,220.08,286.35,1.85615765949597,-33,48,0,96.92,141.08,293.73,81
2,p2.jpg,33,69.57,193.91,251.94,340.11,-1.92736709297734,-44,62,0,124.34,182.37,270.54,106
3,p3.jpg,112,114.76,196.13,281.74,10.46,-1.1386528040011,-52,40,0,81.37,166.98,255.7,92
4,p4.jpg,165,201.57,322.46,20.63,142.77,-0.649786080517489,-61,29,0,58.8,179.69,237.86,90
5,p5.jpg,39,59.66,177.14,255.43,355.66,-2.10032922184998,-32,58,0,117.48,195.77,296,90
6,p6.jpg,234,236.74,352.91,58.16,178.91,0.990299817581583,-28,58,0,116.17,181.42,302.17,86
7,p7.jpg,134,160.57,251.73,335.8,57.39,-0.339117473662498,-51,45,0,91.16,175.23,256.82,96
8,p8.jpg,158,176.14,250.03,359.18,66.6,-0.0673697091269814,-54,36,0,73.89,183.04,250.46,90
9,p9.jpg,98,113.89,203.19,297.57,354.22,-1.15383716849345,-59,44,0,89.3,183.68,240.33,103
10,p10.jpg,203,293.48,7.02999999999997,141.08,185.27,0.0919788515801008,-22,54,0,108.21,181.76,315.81,76
11,p11.jpg,44,63.93,182.14,232.55,1.79000000000002,-2.02580366278982,-31,59,0,118.21,168.62,297.86,90
12,p12.jpg,333,22.74,99.2,154.93,275.91,-2.74470478168628,-53,38,0,76.46,132.19,253.17,91
13,p13.jpg,29,88.33,201.23,287.13,353.66,3.03093877901335,-33,47,0,94.67,207.57,293.47,80
14,p14.jpg,121,180.37,293.31,359.6,109.19,-1.23586764333718,-54,35,0,71.18,184.12,250.41,89
15,p15.jpg,306,354.51,93.19,202.36,290.13,1.92213110522136,-43,32,0,64.38,163.06,272.23,75
16,p16.jpg,74,181.03,238.57,1.76999999999998,58.03,-2.12877808865748,-28,61,0,123,180.54,303.74,89
17,p17.jpg,31,123.78,228.35,323.1,16.84,-2.84767920755395,-26,53,0,106.94,211.51,306.26,79
18,p18.jpg,314,14.69,147.32,198.09,292.58,1.96489167189521,-47,41,0,82.11,214.74,265.51,88
19,p19.jpg,73,113.58,181.16,297.17,357.41,-1.15924768917463,-58,33,0,67.58,183.59,243.83,91
20,p20.jpg,171,176.63,241.81,7.40999999999997,68.08,-0.0588175957922088,-54,32,0,65.18,190.78,251.45,86
21,p21.jpg,340,0.360000000000014,62.43,181.51,263.8,-3.13530946828261,-48,31,0,62.07,181.15,263.44,79
22,p22.jpg,317,352.21,47.4,160.87,228.2,3.00563150485943,-62,27,0,55.19,168.66,235.99,89
23,p23.jpg,171,211.67,339.72,28.44,164.34,-0.273318560862313,-67,23,0,47.33,175.38,224.1,90
24,p24.jpg,87,181.39,238.81,1.57999999999998,59.31,-2.10643787423196,-28,61,0,122.08,179.5,302.27,89
25,p25.jpg,97,181.51,283.1,4.06,85.45,-1.65020880776064,-40,48,0,96.06,197.65,278.61,88
26,p26.jpg,217,237.54,0.230000000000018,59.17,179.45,1.00426245159754,-29,61,0,122.69,181.63,301.91,90
27,p27.jpg,281,6.48000000000002,74.21,190.83,259.31,1.3842206297567,-34,53,0,107.17,174.9,291.52,87
28,p28.jpg,324,353.65,44.94,173.58,225.72,3.03076424608815,-63,25,0,51.29,179.93,232.07,88
29,p29.jpg,360,5.19999999999999,118.02,183.59,300.65,-3.05083553248609,-32,56,0,112.82,178.39,295.45,88
30,p30.jpg,167,185.62,319.76,5.19,138.32,0.0980875039620814,-23,67,0,134.14,179.57,312.7,90
31,p31.jpg,94,183.12,237.03,3,54.42,-2.19178447465448,-25,64,0,128.7,182.61,308.58,89
32,p32.jpg,225,314.17,6.62,80.75,171.14,-0.154636171726698,-45,71,0,143.03,195.48,269.61,116
33,p33.jpg,11,72.88,178.82,253.31,359.29,3.12920081590063,-52,36,0,73.59,179.53,254.02,88
34,p34.jpg,223,288.05,2.08000000000004,125.14,184.71,0.0822050077689336,-29,51,0,103.34,177.37,300.43,80
